R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,2,2,2,1,2,9,9,2,848,3,1,3
2,,0,,2,2,2,9,2,9,9,2,851,3,1,3
2,,0,,2,1,9,9,2,9,9,2,853,2,1,2
2,,0,,1,1,9,9,2,9,9,2,854,2,1,2
2,,0,,1,1,2,9,9,9,9,9,856,2,1,2
2,,0,,2,2,2,9,2,9,9,2,857,5,1,5
2,,0,,2,2,2,9,9,9,9,2,858,2,1,2
2,,0,,1,1,1,9,2,9,9,2,859,1,1,1
2,,0,,1,1,1,9,2,9,9,2,860,5,1,5
2,,4,2,2,2,2,9,2,9,9,2,862,4,1,4
2,,0,,2,2,2,9,2,9,9,2,863,4,1,4
