D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,6,0,5,511,1,2,604,4,1,4
5,6,3,4,409,1,1,605,1,1,1
9,6,1,5,510,1,2,606,3,1,3
9,6,0,7,700,1,1,607,1,1,1
9,2,1,5,511,1,1,608,1,1,1
9,6,0,7,705,1,1,610,3,1,3
9,6,0,3,305,,,611,3,1,3
9,3,4,7,710,1,2,612,2,1,2
9,5,3,4,408,1,2,613,1,1,1
9,6,2,6,602,1,2,614,1,1,1
5,6,0,5,510,1,1,615,3,1,3
1,2,2,5,511,1,2,616,2,1,2
9,6,0,5,513,1,1,617,2,1,2
9,2,3,3,305,1,1,618,1,1,1
9,2,1,7,705,1,1,621,1,1,1
5,2,3,1,100,1,2,622,1,1,1
2,3,3,5,511,1,2,623,2,1,2
9,6,3,6,602,3,2,624,1,1,1
9,1,4,5,511,1,1,626,1,1,1
9,6,0,6,612,1,2,628,1,1,1
9,6,0,7,700,1,2,629,2,1,2
9,6,0,5,513,,,630,2,1,2
9,2,3,5,511,1,1,631,1,1,1
9,2,1,5,511,1,2,632,4,1,4
9,3,2,5,510,1,2,633,2,1,2
9,6,0,7,705,1,1,634,1,1,1
9,2,0,5,511,1,2,635,1,1,1
9,2,0,7,705,1,2,636,2,1,2
9,4,3,3,305,1,2,637,1,1,1
5,5,1,6,602,1,1,638,1,1,1
9,6,0,5,510,,,640,4,1,4
5,2,2,5,511,1,2,641,2,1,2
9,6,5,3,304,1,2,642,1,1,1
9,6,0,6,606,1,2,643,2,1,2
9,5,0,6,602,1,2,644,4,1,4
9,1,0,7,705,1,1,645,1,1,1
9,1,1,5,511,1,2,646,1,1,1
9,2,2,6,602,1,2,647,2,1,2
9,2,2,5,511,1,1,648,2,1,2
9,3,2,3,305,1,2,649,2,1,2
9,3,4,3,302,1,2,650,2,1,2
9,5,0,5,511,1,1,651,3,1,3
9,2,0,5,511,1,1,652,9,1,9
9,3,2,5,511,1,2,653,2,1,2
9,6,0,5,511,1,1,654,3,1,3
9,6,0,5,510,,,655,3,1,3
9,6,0,4,407,,,657,3,1,3
9,6,0,6,602,1,1,658,5,1,5
9,6,0,6,606,1,1,659,4,1,4
9,2,3,6,603,1,2,660,2,1,2
9,3,0,7,710,1,1,661,2,1,2
9,6,0,5,510,1,2,662,3,1,3
9,3,2,4,409,1,2,663,2,1,2
9,6,0,5,511,1,2,664,1,1,1
9,6,0,7,710,1,2,665,1,1,1
9,6,0,6,606,1,1,666,3,1,3
5,2,2,5,511,1,2,668,1,1,1
5,2,2,6,602,1,1,669,2,1,2
5,3,2,5,511,1,1,670,1,1,1
5,2,7,5,510,1,1,671,1,1,1
9,2,2,3,305,1,1,672,1,1,1
5,6,2,4,409,1,2,673,1,1,1
9,5,2,7,705,1,2,674,1,1,1
9,2,3,5,511,1,2,675,2,1,2
9,2,1,5,511,1,1,676,6,1,6
9,6,0,7,706,1,1,677,3,1,3
9,6,1,5,511,1,1,678,5,1,5
9,3,3,5,511,1,2,679,1,1,1
9,3,2,6,606,1,2,680,1,1,1
9,3,4,7,705,1,2,681,2,1,2
9,6,0,5,511,1,1,682,3,1,3
9,5,1,6,606,1,2,683,3,1,3
1,2,6,5,511,1,2,685,2,1,2
