J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,29022,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,29153,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,29268,1,1,1
3,1,4,1,1,,,,,,,,,,,,,1,,,,,,,,29472,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,29750,2,1,2
3,1,1,2,,1,,,,,,,,1,,,,,,,,,,2,,29784,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,30069,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,30076,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,2,,30255,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,30448,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,30453,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,30491,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,30619,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,30872,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,30926,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,1,2,31064,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,31098,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,31125,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,31146,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,31223,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,31267,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,31417,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,31442,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,31523,6,1,6
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,31524,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,31579,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,1,31649,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,31685,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,2,,31725,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,31728,2,1,2
